mode,n,correct,accuracy,total_wall_s,avg_wall_s,avg_model_calls,total_estimated_gpu_cost_usd,cost_per_correct_usd,avg_peak_gpu_mem_after_mb,final_answer_rate,avg_completion_tokens_reported
adaptive_scaffold_v2,100,93,0.93,2194.0483689308167,21.940483689308167,3.99,0.21331025809049606,0.002293658689145119,9116.199999999997,1.0,872.8
solver_verifier,100,90,0.9,1918.0954420566559,19.180954420566557,3.0,0.18648150131106372,0.0020720166812340413,9114.499999999996,1.0,784.44
small_direct_finalized,100,88,0.88,1400.4324550628662,14.004324550628661,2.0,0.1361531553533342,0.0015471949471969795,9076.139999999996,0.98,563.74
small_direct,100,78,0.78,1291.5858306884766,12.915858306884765,1.0,0.12557084465026855,0.0016098826237213916,9053.999999999996,0.64,557.01
